mileage,make,fuel,gear,offerType,price,hp,year
137500,Volkswagen,Gasoline,Manual,Used,4800,75.0,2012
122600,Peugeot,Gasoline,Manual,Used,4800,120.0,2012
81698,Volkswagen,Gasoline,Manual,Used,4804,60.0,2012
87000,Opel,Gasoline,Manual,Used,4850,69.0,2012
89000,Kia,Gasoline,Manual,Used,4870,69.0,2012
26147,Renault,Gasoline,Manual,Used,4890,75.0,2012
81500,Toyota,Gasoline,Manual,Used,4899,68.0,2012
119600,Ford,Gasoline,Manual,Used,4900,82.0,2012
153289,Hyundai,Other,Manual,Used,4900,109.0,2012
322418,Skoda,Diesel,Automatic,Used,4900,140.0,2012
52000,Ford,Gasoline,Automatic,Used,4900,97.0,2012
56000,Ford,Gasoline,Manual,Used,4900,69.0,2012
276000,Audi,Diesel,Manual,Used,4900,140.0,2012
215000,Ford,Diesel,Manual,Used,4900,116.0,2012
159999,Fiat,Diesel,Manual,Used,4900,90.0,2012
81000,Toyota,Gasoline,Manual,Used,4900,68.0,2012
120185,SEAT,Diesel,Manual,Used,4948,105.0,2012
116000,SEAT,Gasoline,Manual,Used,4950,86.0,2012
99000,Ford,Gasoline,Manual,Used,4999,69.0,2013
175000,Kia,Diesel,Manual,Used,4999,128.0,2013
74415,Fiat,Gasoline,Manual,Used,4999,69.0,2013
42000,Hyundai,Gasoline,Manual,Used,4999,86.0,2013
85571,Kia,Gasoline,Manual,Used,5000,86.0,2013
473000,Mercedes-Benz,Diesel,Automatic,Used,5000,136.0,2013
68900,Ford,Gasoline,Manual,Used,5100,69.0,2013
73350,Skoda,Gasoline,Manual,Used,5180,60.0,2013
124000,Ford,Diesel,Manual,Used,5200,75.0,2013
162300,Opel,Gasoline,Manual,Used,5200,69.0,2013
